Surname
Abrahamovsky (Абрагамовський)
Avksentiev (Авксентьєв)
Avramenko (Авраменко)
Adamchuk (Адамчук)
Anhelyuk (Ангелюк)
Andreikiv (Андрейків)
Andreiko (Андрейко)
Andreichenko (Андрейченко)
Andreichyn (Андрейчин)
Andresyuk (Андресюк)
Andriyenko (Андрієнко)
Andriychuk (Андрійчук)
Andrichuk (Андрійчук)
Androshchuk (Андрощук)
Andruko (Андруко)
Andrusenko (Андрусенко)
Andrusyshyn (Андрусишин)
Andrusiv (Андрусів)
Andrusyak (Андрусяк)
Andrukh (Андрух)
Andruntsiv (Андруців)
Andrushkiv (Андрушків)
Andrushko (Андрушко)
Andrushchenko (Андрущенко)
Anhelyuk (Ангелюк)
Antonenko (Антоненко)
Antoniv (Антонів)
Artyuschenko (Артюшенко)
Arkhipenko (Архипенко)
Babiak (Бабіак)
Bakaj or Bakay or Bakai (Бакай)
Balanchuk (Баланчук)
Barabash (Барабаш)
Bezkorovainyi (Безкоровайний)
Bernadyn (Бернадин)
Bzovsky (Бзовський)
Bilenko (Біленко)
Biletskyy or Biletskyi (Білецький)
Bilovol (Біловол)
Bilokhatniuk (Білохатнюк)
Blyzniuk or Blyznyuk (Близнюк)
Bohatenko (Богатенко)
Bohomolets (Богомолець)
Bohoslovskyi (Богословський)
Boyko (Бойко)
Bondar (Бондар)
Bondarenko (Бондаренко)
Bondarchuk (Бондарчук)
Boreckyi (Борецький)
Brutka (Брутка)
Bublyk (Бублик)
Bulavynets (Булавінець)
Bulhakiv (Булгаків)
Burgos (Бурґос)
Vasylyk (Василик)
Vasylyshyn (Василишин)
Vasylchuk (Васильчук)
Vashchenko (Ващенко)
Veremchuk (Веремчук)
Verminchuk (Вермінчук)
Vershyhora (Вершигора)
Vyhovsky (Виговський)
Vynnychenko (Винниченко)
Vilkul (Вілкул)
Vovk (Вовк)
Voitenko (Войтенко)
Voloshyn (Волошин)
Volkov (Волошин)
Haburjak (Габурчак)
Halyckyj (Галицький)
Halichenko (Галіченко)
Haponenko (Гапоненко)
Haranchak (Гаранчак)
Harasemchuk (Гарасемчук)
Hycha (Гича)
Hleba (Глеба)
Hlib (Гліб)
Holovaty (Головатий)
Holub (Голуб)
Hordiyenko (Гордієнко)
Horenko (Горенко)
Hotopylo/Hotopіlo/Hotopyla/Hutopyla (Готопило/Готопіло/Готопила/Гутопила)
Hryhorenko (Григоренко)
Hryhorchuk (Григорчук )
Hrytsenko (Гриценко)
